country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
RUS,Kucherov,Nikita,RW,T.B,74,40,45,85,CA$4'250'000.00,CA$ 56078.44,,,,
USA,Atkinson,Cam,RW,CBJ,82,35,27,62,CA$3'500'000.00,CA$ 56451.61,,,,
RUS,Grigorenko,Mikhail,C,COL,75,10,13,23,CA$1'300'000.00,CA$ 56521.74,,,,
USA,Nieto,Matt,LW/RW,COL/S.J,59,7,6,13,CA$735'000.00,CA$ 56538.46,,,,
USA,Coyle,Charlie,C/RW,MIN,82,18,38,56,CA$2'600'000.00,CA$ 57142.86,,,,
USA,Ruhwedel,Chad,D,PIT,34,2,8,10,CA$575'000.00,CA$ 57500.00,,,,
CAN,Barberio,Mark,D,COL/MTL,60,2,11,13,CA$800'000.00,CA$ 57692.31,,,,
CAN,Petan,Nic,LW/C,WPG,54,1,12,13,CA$750'000.00,CA$ 58333.31,,,,
CAN,Beagle,Jay,C/RW,WSH,81,13,17,30,CA$1'750'000.00,CA$ 58333.33,,,,
CAN,Bailey,Josh,RW/LW/C,NYI,82,13,43,56,CA$3'700'000.00,CA$ 58928.57,,,,
CAN,Smith,Zack,C,OTT,74,16,16,32,CA$2'350'000.00,CA$ 58984.38,,,,
FRA,Ouellet,Xavier,D,DET,66,3,9,12,CA$715'000.00,CA$ 59583.33,,,,
SVK,Tatar,Tomas,LW/C/RW,DET,82,25,21,46,CA$2'750'000.00,CA$ 59782.61,,,,
SWE,Lindholm,Elias,C/RW,CAR,72,11,34,45,CA$2'500'000.00,CA$ 60000.00,,,,
USA,Noesen,Stefan,RW,ANA/N.J,44,8,2,10,CA$600'000.00,CA$ 60000.00,,,,
CAN,Pirri,Brandon,RW/LW/C,NYR,60,8,10,18,CA$1'100'000.00,CA$ 61111.11,,,,
CAN,Leivo,Josh,LW,TOR,13,2,8,10,CA$575'000.00,CA$ 61250.00,,,,
USA,Deangelo,Anthony,D,ARI,39,5,9,14,CA$925'000.00,CA$ 61666.64,,,,
CAN,Benning,Matthew,D,EDM,62,3,12,15,CA$925'000.00,CA$ 61666.67,,,,
RUS,Barbashev,Ivan,C,STL,30,5,7,12,CA$742'500.00,CA$ 61805.58,,,,
CAN,Kassian,Zack,RW,EDM,79,7,17,24,CA$1'500'000.00,CA$ 62500.00,,,,
CAN,Sissons,Colton,C,NSH,58,8,2,10,CA$575'000.00,CA$ 62500.00,,,,
USA,Stempniak,Lee,RW,CAR,82,16,24,40,CA$2'500'000.00,CA$ 62500.00,,,,
CAN,Vermette,Antoine,C/LW,ANA,72,9,19,28,CA$1'750'000.00,CA$ 62500.00,,,,
CAN,White,Ryan,C,ARI/MIN,65,9,7,16,CA$1'000'000.00,CA$ 62500.00,,,,
USA,Czarnik,Austin,C,BOS,49,5,8,13,CA$842'500.00,CA$ 62884.62,,,,
USA,Hunwick,Matt,D,TOR,72,1,18,19,CA$1'200'000.00,CA$ 63157.89,,,,
CAN,Brodziak,Kyle,C,STL,69,8,7,15,CA$1'000'000.00,CA$ 63333.33,,,,
CAN,Postma,Paul,D,WPG,65,1,13,14,CA$925'000.00,CA$ 63392.86,,,,
SWE,Claesson,Fredrik,D,OTT,33,3,8,11,CA$700'000.00,CA$ 63636.36,,,,
USA,Galchenyuk,Alex,C/LW,MTL,61,17,27,44,CA$3'100'000.00,CA$ 63636.36,,,,
CAN,Turris,Kyle,C,OTT,78,27,28,55,CA$4'000'000.00,CA$ 63636.36,,,,
CZE,Palat,Ondrej,LW,T.B,75,17,35,52,CA$4'000'000.00,CA$ 64102.56,,,,
SWE,Jarnkrok,Calle,C,NSH,81,15,16,31,CA$1'700'000.00,CA$ 64516.13,,,,
CAN,Benn,Jordie,D,DAL/MTL,71,4,13,17,CA$1'100'000.00,CA$ 64705.88,,,,
CAN,Stone,Mark,RW,OTT,71,22,32,54,CA$3'750'000.00,CA$ 64814.81,,,,
DEU,Rieder,Tobias,RW/C,ARI,80,16,18,34,CA$2'000'000.00,CA$ 65441.18,,,,
CAN,Johansen,Ryan,C/RW,NSH,82,14,47,61,CA$6'000'000.00,CA$ 65573.77,,,,
CAN,Ellis,Ryan,D,NSH,71,16,22,38,CA$2'500'000.00,CA$ 65789.47,,,,
USA,Pitlick,Tyler,RW/C,EDM,31,8,3,11,CA$725'000.00,CA$ 65909.09,,,,
CAN,Shaw,Logan,C/RW,ANA,55,3,7,10,CA$660'000.00,CA$ 66000.00,,,,
CAN,Pysyk,Mark,D,FLA,82,4,13,17,CA$1'250'000.00,CA$ 66176.47,,,,
CAN,Chaput,Michael,C,VAN,68,4,5,9,CA$600'000.00,CA$ 66666.67,,,,
CAN,Perreault,Mathieu,C/LW,WPG,65,13,32,45,CA$3'000'000.00,CA$ 66666.67,,,,
CAN,Sgarbossa,Michael,C,ANA/FLA,38,2,7,9,CA$600'000.00,CA$ 66666.67,,,,
CAN,Wiercioch,Patrick,D,COL,57,4,8,12,CA$800'000.00,CA$ 66666.67,,,,
USA,Pacioretty,Max,LW,MTL,81,35,32,67,CA$5'000'000.00,CA$ 67164.18,,,,
SWE,Backlund,Mikael,C,CGY,81,22,31,53,CA$3'575'000.00,CA$ 67452.83,,,,
CAN,Williams,Justin,RW,WSH,80,24,24,48,CA$3'250'000.00,CA$ 67708.33,,,,
CAN,Chimera,Jason,LW/RW,NYI,82,20,13,33,CA$2'000'000.00,CA$ 68181.82,,,,
