country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
CAN,Ladd,Andrew,LW,NYI,78,23,8,31,CA$8'000'000.00,CA$ 177419.35,,,,
SVK,Marincin,Martin,D,TOR,25,1,6,7,CA$1'200'000.00,CA$ 178571.43,,,,
USA,Parise,Zach,LW,MIN,69,19,23,42,CA$9'000'000.00,CA$ 179487.19,,,,
CAN,Baptiste,Nicholas,RW,BUF,14,3,1,4,CA$740'000.00,CA$ 179583.25,,,,
CAN,Brouwer,Troy,RW,CGY,74,13,12,25,CA$4'500'000.00,CA$ 180000.00,,,,
CAN,Toews,Jonathan,C,CHI,72,21,37,58,CA$13'800'000.00,CA$ 181034.48,,,,
RUS,Marchenko,Alexey,D,DET/TOR,41,1,7,8,CA$1'300'000.00,CA$ 181250.00,,,,
FIN,Pakarinen,Iiro,RW,EDM,14,2,2,4,CA$725'000.00,CA$ 181250.00,,,,
SWE,Kruger,Marcus,C,CHI,70,5,12,17,CA$3'475'000.00,CA$ 181372.53,,,,
CAN,Fehr,Eric,C/RW,PIT/TOR,53,6,5,11,CA$2'000'000.00,CA$ 181818.18,,,,
SWE,Hagelin,Carl,LW,PIT,61,6,16,22,CA$3'667'000.00,CA$ 181818.18,,,,
CZE,Hudler,Jiri,RW/LW,DAL,32,3,8,11,CA$2'000'000.00,CA$ 181818.18,,,,
RUS,Kulemin,Nikolay,LW/RW,NYI,72,12,11,23,CA$4'250'000.00,CA$ 182065.22,,,,
CAN,Engelland,Deryk,D,CGY,81,4,12,16,CA$2'750'000.00,CA$ 182291.69,,,,
CZE,Nestrasil,Andrej,C/RW/LW,CAR,19,1,4,5,CA$950'000.00,CA$ 182500.00,,,,
CAN,Savard,David,D,CBJ,74,6,17,23,CA$3'500'000.00,CA$ 184782.61,,,,
USA,Boeser,Brock,RW,VAN,9,4,1,5,CA$925'000.00,CA$ 185000.00,,,,
USA,Compher,J.T.,LW/C,COL,21,3,2,5,CA$925'000.00,CA$ 185000.00,,,,
USA,Connor,Kyle,LW,WPG,20,2,3,5,CA$925'000.00,CA$ 185000.00,,,,
CAN,Rielly,Morgan,D,TOR,76,6,21,27,CA$5'000'000.00,CA$ 185185.19,,,,
USA,Martin,Paul,D,S.J,81,4,22,26,CA$5'000'000.00,CA$ 186538.46,,,,
CAN,Weber,Shea,D,MTL,78,17,25,42,CA$12'000'000.00,CA$ 187074.83,,,,
USA,Suter,Ryan,D,MIN,82,9,31,40,CA$9'000'000.00,CA$ 188461.55,,,,
USA,Johnson,Jack,D,CBJ,82,5,18,23,CA$5'000'000.00,CA$ 189441.00,,,,
USA,Merrill,Jon,D,N.J,51,1,5,6,CA$1'000'000.00,CA$ 189583.33,,,,
CAN,Read,Matt,RW/LW,PHI,63,10,9,19,CA$4'000'000.00,CA$ 190789.47,,,,
CAN,Bournival,Michael,LW,T.B,19,2,1,3,CA$575'000.00,CA$ 191666.67,,,,
CAN,Stollery,Karl,D,N.J,11,0,3,3,CA$575'000.00,CA$ 191666.67,,,,
USA,Thompson,Paul,RW,FLA,21,0,3,3,CA$575'000.00,CA$ 191666.67,,,,
CHE,Vermin,Joel,RW,T.B,18,0,3,3,CA$575'000.00,CA$ 191666.67,,,,
SVN,Kopitar,Anze,C,L.A,76,12,40,52,CA$14'000'000.00,CA$ 192307.69,,,,
USA,Miller,Kevan,D,BOS,58,3,10,13,CA$2'500'000.00,CA$ 192307.69,,,,
CHE,Streit,Mark,D,PHI/PIT,68,6,21,27,CA$4'000'000.00,CA$ 194444.44,,,,
CAN,McGinn,Jamie,LW/RW,ARI,72,9,8,17,CA$3'000'000.00,CA$ 196078.41,,,,
USA,Petry,Jeff,D,MTL,80,8,20,28,CA$7'000'000.00,CA$ 196428.57,,,,
CAN,Iginla,Jarome,RW,COL/L.A,80,14,13,27,CA$5'000'000.00,CA$ 197530.85,,,,
FRA,Auvitu,Yohann,D/LW,N.J,25,2,2,4,CA$792'500.00,CA$ 198125.00,,,,
CAN,Dalpe,Zac,C,MIN,9,1,2,3,CA$600'000.00,CA$ 200000.00,,,,
RUS,Kalinin,Sergey,C/RW,N.J,43,2,2,4,CA$800'000.00,CA$ 200000.00,,,,
CZE,Rozsival,Michal,D,CHI,22,1,2,3,CA$600'000.00,CA$ 200000.00,,,,
USA,Abdelkader,Justin,LW/RW,DET,64,7,14,21,CA$5'500'000.00,CA$ 202380.95,,,,
CAN,Quenneville,John,C,N.J,12,1,3,4,CA$842'500.00,CA$ 202916.75,,,,
FIN,Vatanen,Sami,D,ANA,71,3,21,24,CA$5'000'000.00,CA$ 203125.00,,,,
CZE,Polak,Roman,D,TOR,75,4,7,11,CA$2'250'000.00,CA$ 204545.45,,,,
SWE,Stralman,Anton,D,T.B,73,5,17,22,CA$4'500'000.00,CA$ 204545.45,,,,
CAN,Nash,Rick,RW/LW,NYR,67,23,15,38,CA$8'000'000.00,CA$ 205263.16,,,,
USA,Wingels,Tommy,C/RW/LW,OTT/S.J,73,7,5,12,CA$2'600'000.00,CA$ 206250.00,,,,
CAN,Klein,Kevin,D,NYR,60,3,11,14,CA$2'750'000.00,CA$ 207142.86,,,,
USA,Stafford,Drew,RW/LW,BOS/WPG,58,8,13,21,CA$4'350'000.00,CA$ 207142.86,,,,
USA,Agostino,Kenny,LW,STL,7,1,2,3,CA$625'000.00,CA$ 208333.33,,,,
USA,Brown,J.T.,RW,T.B,64,3,3,6,CA$1'250'000.00,CA$ 208333.33,,,,
CAN,Harrington,Scott,D,CBJ,22,1,2,3,CA$632'500.00,CA$ 210833.33,,,,
CAN,Letang,Kris,D,PIT,41,5,29,34,CA$7'250'000.00,CA$ 213235.29,,,,
FIN,Lehtera,Jori,C,STL,64,7,15,22,CA$4'400'000.00,CA$ 213636.36,,,,
AUT,Raffl,Michael,LW/C,PHI,52,8,3,11,CA$2'350'000.00,CA$ 213636.36,,,,
CZE,Plekanec,Tomas,C,MTL,78,10,18,28,CA$7'000'000.00,CA$ 214285.71,,,,
CAN,Del Zotto,Michael,D,PHI,51,6,12,18,CA$4'000'000.00,CA$ 215277.78,,,,
CAN,Alzner,Karl,D,WSH,82,3,10,13,CA$2'800'000.00,CA$ 215384.62,,,,
USA,Harper,Shane,RW,FLA,14,2,1,3,CA$650'000.00,CA$ 216666.67,,,,
CAN,Tanev,Brandon,LW/C/RW,WPG,51,2,2,4,CA$874'125.00,CA$ 218531.25,,,,
CAN,Kulak,Brett,D,CGY,21,0,3,3,CA$680'000.00,CA$ 218889.00,,,,
SWE,Larsson,Adam,D,EDM,79,4,15,19,CA$3'000'000.00,CA$ 219298.26,,,,
CAN,Archibald,Josh,RW,PIT,10,3,0,3,CA$667'500.00,CA$ 219722.33,,,,
CAN,McLeod,Cody,LW/RW,COL/NSH,59,5,1,6,CA$1'250'000.00,CA$ 222222.17,,,,
CAN,Koekkoek,Slater,D,T.B,29,0,4,4,CA$832'500.00,CA$ 223541.75,,,,
CAN,Lazar,Curtis,C/RW,CGY/OTT,37,1,3,4,CA$832'500.00,CA$ 223541.75,,,,
CAN,Subban,P.K.,D,NSH,66,10,30,40,CA$11'000'000.00,CA$ 225000.00,,,,
CAN,Helm,Darren,C,DET,50,8,9,17,CA$5'000'000.00,CA$ 226470.59,,,,
USA,Murphy,Connor,D,ARI,77,2,15,17,CA$2'400'000.00,CA$ 226470.59,,,,
SWE,Hjalmarsson,Niklas,D,CHI,73,5,13,18,CA$4'100'000.00,CA$ 227777.78,,,,
USA,Hayden,John,LW/RW/C,CHI,12,1,3,4,CA$925'000.00,CA$ 231250.00,,,,
CAN,Richardson,Brad,RW/C,ARI,16,5,4,9,CA$2'250'000.00,CA$ 231481.44,,,,
SVK,Gaborik,Marian,RW,L.A,56,10,11,21,CA$6'075'000.00,CA$ 232142.86,,,,
CAN,Phaneuf,Dion,D,OTT,81,9,21,30,CA$7'500'000.00,CA$ 233333.33,,,,
CAN,Hamhuis,Dan,D,DAL,79,1,15,16,CA$4'500'000.00,CA$ 234375.00,,,,
SWE,Edler,Alex,D,VAN,68,6,15,21,CA$6'000'000.00,CA$ 238095.24,,,,
CAN,Russell,Kris,D,EDM,68,1,12,13,CA$3'100'000.00,CA$ 238461.54,,,,
SVK,Chara,Zdeno,D,BOS,75,9,19,29,CA$5'000'000.00,CA$ 238505.76,,,,
SWE,Lander,Anton,C/LW/RW,EDM,22,1,3,4,CA$1'050'000.00,CA$ 246875.00,,,,
CAN,Dauphin,Laurent,C,ARI,24,2,1,3,CA$767'500.00,CA$ 248333.33,,,,
CAN,Beauchemin,Francois,D,COL,81,5,13,18,CA$4'500'000.00,CA$ 250000.00,,,,
CAN,Biega,Alex,D,VAN,36,0,3,3,CA$700'000.00,CA$ 250000.00,,,,
CAN,Desharnais,David,C,EDM/MTL,49,6,8,14,CA$3'500'000.00,CA$ 250000.00,,,,
SWE,Eriksson,Loui,LW/C,VAN,65,11,13,24,CA$8'000'000.00,CA$ 250000.00,,,,
CAN,Tootoo,Jordin,RW,CHI,50,2,1,3,CA$750'000.00,CA$ 250000.00,,,,
CAN,Murray,Ryan,D,CBJ,60,2,9,11,CA$2'825'000.00,CA$ 256818.18,,,,
CAN,Mitchell,John,C,COL,65,3,4,7,CA$1'900'000.00,CA$ 257142.86,,,,
CAN,Boychuk,Johnny,D,NYI,66,6,17,23,CA$7'000'000.00,CA$ 260869.57,,,,
CAN,Bortuzzo,Robert,D,STL,38,1,3,4,CA$1'050'000.00,CA$ 262500.00,,,,
CAN,Prout,Dalton,D,CBJ/N.J,29,0,6,6,CA$1'250'000.00,CA$ 262500.00,,,,
USA,Hendricks,Matt,LW/C,EDM,42,4,3,7,CA$1'850'000.00,CA$ 264285.71,,,,
SWE,Olofsson,Gustav,D,MIN,13,0,3,3,CA$925'000.00,CA$ 265000.00,,,,
CAN,Stone,Michael,D,ARI/CGY,64,3,12,15,CA$4'000'000.00,CA$ 266666.67,,,,
CAN,Mcquaid,Adam,D,BOS,77,2,8,10,CA$3'000'000.00,CA$ 275000.00,,,,
CAN,Hamonic,Travis,D,NYI,49,3,11,14,CA$4'875'000.00,CA$ 275510.21,,,,
ITA,Sbisa,Luca,D,VAN,82,2,11,13,CA$3'600'000.00,CA$ 276923.08,,,,
CAN,MacDonald,Andrew,D,PHI,73,2,16,18,CA$4'750'000.00,CA$ 277777.78,,,,
CAN,Martin,Matt,LW/RW,TOR,82,5,4,9,CA$3'500'000.00,CA$ 277777.78,,,,
RUS,Yakupov,Nail,RW/LW,STL,40,3,6,9,CA$2'500'000.00,CA$ 277777.78,,,,
USA,Gilbert,Tom,D,L.A,18,1,4,5,CA$1'400'000.00,CA$ 280000.00,,,,
USA,Fischer,Christian,RW,ARI,7,3,0,3,CA$817'500.00,CA$ 284166.67,,,,
SWE,Lindholm,Hampus,D,ANA,66,6,14,20,CA$3'000'000.00,CA$ 285670.75,,,,
CAN,Bieksa,Kevin,D,ANA,81,3,11,14,CA$4'000'000.00,CA$ 285714.29,,,,
CAN,Pouliot,Benoit,LW,EDM,67,8,6,14,CA$4'000'000.00,CA$ 285714.29,,,,
USA,Rau,Kyle,C,FLA,24,2,1,3,CA$925'000.00,CA$ 286250.00,,,,
USA,Sestito,Tom,LW,PIT,13,0,2,2,CA$575'000.00,CA$ 287500.00,,,,
CAN,Gauthier,Frederik,C,TOR,21,2,1,3,CA$832'500.00,CA$ 287777.67,,,,
RUS,Goldobin,Nikolay,RW/LW,S.J/VAN,14,3,0,3,CA$925'000.00,CA$ 287777.67,,,,
USA,Ryan,Bobby,RW/LW,OTT,62,13,12,25,CA$7'000'000.00,CA$ 290000.00,,,,
USA,Erne,Adam,LW,T.B,26,3,0,3,CA$925'000.00,CA$ 291389.00,,,,
CAN,Wideman,Dennis,D,CGY,57,5,13,18,CA$6'000'000.00,CA$ 291666.67,,,,
USA,Braun,Justin,D,S.J,81,4,9,13,CA$3'800'000.00,CA$ 292307.69,,,,
USA,Bjugstad,Nick,C,FLA,54,7,7,14,CA$3'350'000.00,CA$ 292857.14,,,,
CAN,Andreoff,Andy,LW/C,L.A,36,0,2,2,CA$600'000.00,CA$ 293750.00,,,,
USA,Boll,Jared,RW,ANA,51,0,3,3,CA$900'000.00,CA$ 300000.00,,,,
SVK,Hrivik,Marek,LW/C/RW,NYR,16,0,2,2,CA$600'000.00,CA$ 300000.00,,,,
SWE,Nemeth,Patrik,D,DAL,40,0,3,3,CA$900'000.00,CA$ 300000.00,,,,
USA,Shore,Drew,C,VAN,14,0,2,2,CA$600'000.00,CA$ 300000.00,,,,
USA,Strait,Brian,D,WPG,5,0,2,2,CA$600'000.00,CA$ 300000.00,,,,
CAN,Thorburn,Chris,RW/LW,WPG,64,3,1,4,CA$1'200'000.00,CA$ 300000.00,,,,
CAN,Smith,Brendan,D,DET/NYR,51,3,6,9,CA$3'250'000.00,CA$ 305555.56,,,,
USA,Bartkowski,Matt,D,CGY,24,1,1,2,CA$575'000.00,CA$ 306250.00,,,,
CAN,Hamilton,Freddie,C,CGY,26,2,0,2,CA$575'000.00,CA$ 306250.00,,,,
USA,Kampfer,Steven,D,FLA/NYR,11,1,1,2,CA$625'000.00,CA$ 306250.00,,,,
CAN,Scandella,Marco,D,MIN,71,4,9,13,CA$3'750'000.00,CA$ 307692.31,,,,
CAN,Coburn,Braydon,D,T.B,80,5,7,12,CA$3'700'000.00,CA$ 308333.33,,,,
CAN,Colborne,Joe,C/LW/RW,COL,62,4,4,8,CA$2'500'000.00,CA$ 312500.00,,,,
CAN,Dowling,Justin,C,DAL,9,0,2,2,CA$625'000.00,CA$ 312500.00,,,,
CAN,Fiddler,Vernon,C/LW,N.J/NSH,59,2,2,4,CA$1'250'000.00,CA$ 312500.00,,,,
CAN,Hudon,Charles,LW,MTL,3,0,2,2,CA$575'000.00,CA$ 312500.00,,,,
CAN,Melchiori,Julian,D,WPG,18,0,2,2,CA$600'000.00,CA$ 312500.00,,,,
CAN,Bouma,Lance,C/LW/RW,CGY,61,3,4,7,CA$2'200'000.00,CA$ 314285.71,,,,
CAN,Eakin,Cody,C,DAL,60,3,9,12,CA$3'850'000.00,CA$ 320833.33,,,,
CAN,Rattie,Ty,RW,CAR/STL,9,0,2,2,CA$650'000.00,CA$ 325000.00,,,,
CAN,Dillon,Brenden,D,S.J,81,2,8,10,CA$2'750'000.00,CA$ 327000.00,,,,
CAN,Sharp,Patrick,LW/RW/C,DAL,48,8,10,18,CA$5'000'000.00,CA$ 327777.78,,,,
SWE,Soderberg,Carl,C/LW,COL,80,6,8,14,CA$4'750'000.00,CA$ 339285.71,,,,
USA,Coleman,Blake,C/LW,N.J,23,1,1,2,CA$692'500.00,CA$ 340000.00,,,,
SWE,Wallmark,Lucas,C,CAR,8,0,2,2,CA$675'000.00,CA$ 341666.50,,,,
USA,Johnson,Erik,D,COL,46,2,15,17,CA$6'000'000.00,CA$ 352941.18,,,,
CAN,Ennis,Tyler,LW/C/RW,BUF,51,5,8,13,CA$3'650'000.00,CA$ 353846.15,,,,
FIN,Hannikainen,Markus,LW,CBJ,10,1,1,2,CA$742'500.00,CA$ 358750.00,,,,
CAN,Bouwmeester,Jay,D,STL,81,1,14,15,CA$5'600'000.00,CA$ 360000.00,,,,
SWE,Kronwall,Niklas,D,DET,57,2,11,13,CA$5'500'000.00,CA$ 365384.62,,,,
CAN,Borowiecki,Mark,D,OTT,70,1,2,3,CA$1'100'000.00,CA$ 366666.67,,,,
CAN,Girardi,Dan,D,NYR,63,4,11,15,CA$6'000'000.00,CA$ 366666.67,,,,
SVK,Cehlarik,Peter,LW/RW,BOS,11,0,2,2,CA$692'500.00,CA$ 371250.00,,,,
CAN,Neil,Chris,RW,OTT,53,1,3,4,CA$1'500'000.00,CA$ 375000.00,,,,
USA,Lovejoy,Ben,D,N.J,82,1,6,7,CA$2'500'000.00,CA$ 380952.43,,,,
USA,Greene,Andy,D,N.J,66,4,9,13,CA$5'000'000.00,CA$ 384615.38,,,,
CAN,Deslauriers,Nicolas,LW,BUF,42,0,2,2,CA$775'000.00,CA$ 387500.00,,,,
CAN,Leier,Taylor,LW,PHI,10,1,1,2,CA$768'150.00,CA$ 389808.50,,,,
SWE,Aberg,Pontus,LW,NSH,15,1,1,2,CA$842'500.00,CA$ 390416.50,,,,
SWE,Blidh,Anton,LW,BOS,19,1,1,2,CA$792'500.00,CA$ 392083.50,,,,
USA,Orpik,Brooks,D,WSH,79,0,14,14,CA$5'500'000.00,CA$ 392857.14,,,,
CAN,Murphy,Ryan,D,CAR,27,0,2,2,CA$750'000.00,CA$ 393750.00,,,,
CAN,Peca,Matthew,C,T.B,10,1,1,2,CA$925'000.00,CA$ 398125.00,,,,
USA,Liles,John-Michael,D,BOS,36,0,5,5,CA$2'000'000.00,CA$ 400000.00,,,,
USA,Brodzinski,Jonny,C,L.A,6,0,2,2,CA$925'000.00,CA$ 404375.00,,,,
FIN,Pulkkinen,Teemu,LW,ARI/MIN,13,2,0,2,CA$812'500.00,CA$ 406250.00,,,,
CAN,Methot,Marc,D,OTT,68,0,12,12,CA$4'900'000.00,CA$ 408333.33,,,,
RUS,Emelin,Alexei,D,MTL,76,2,8,10,CA$4'200'000.00,CA$ 410000.00,,,,
SWE,Enstrom,Tobias,D,WPG,60,1,13,14,CA$5'750'000.00,CA$ 410714.29,,,,
USA,DeKeyser,Danny,D,DET,82,4,8,12,CA$4'000'000.00,CA$ 416666.67,,,,
SWE,Oduya,Johnny,D,CHI/DAL,52,2,7,9,CA$3'750'000.00,CA$ 416666.67,,,,
CAN,McNabb,Brayden,D,L.A,49,2,2,4,CA$1'600'000.00,CA$ 425000.00,,,,
CAN,Stamkos,Steven,C,T.B,17,9,11,20,CA$9'500'000.00,CA$ 425000.00,,,,
CAN,Tanev,Chris,D,VAN,53,2,8,10,CA$3'500'000.00,CA$ 445000.00,,,,
CAN,Dickinson,Jason,C,DAL,10,2,0,2,CA$925'000.00,CA$ 447083.50,,,,
CHE,Mueller,Mirco,D,S.J,4,1,1,2,CA$832'500.00,CA$ 447083.50,,,,
USA,Keller,Clayton,C/LW,ARI,3,0,2,2,CA$900'000.00,CA$ 458333.50,,,,
USA,Hayes,Jimmy,RW,BOS,58,2,3,5,CA$2'300'000.00,CA$ 460000.00,,,,
USA,Schmaltz,Jordan,D,STL,9,0,2,2,CA$925'000.00,CA$ 462500.00,,,,
USA,Bogosian,Zach,D,BUF,56,2,9,11,CA$5'250'000.00,CA$ 467532.45,,,,
SWE,Ericsson,Jonathan,D,DET,51,1,8,9,CA$4'250'000.00,CA$ 472222.22,,,,
CAN,Beleskey,Matt,LW,BOS,49,3,5,8,CA$4'000'000.00,CA$ 475000.00,,,,
CAN,Davidson,Brandon,D,EDM/MTL,38,0,3,3,CA$1'300'000.00,CA$ 475000.00,,,,
SWE,Gunnarsson,Carl,D,STL,56,0,6,6,CA$2'900'000.00,CA$ 483333.33,,,,
CAN,Garrison,Jason,D,T.B,70,1,8,9,CA$3'600'000.00,CA$ 511111.11,,,,
CAN,Schultz,Nick,D,PHI,28,0,4,4,CA$2'250'000.00,CA$ 562500.00,,,,
CAN,Staal,Marc,D,NYR,72,3,7,10,CA$6'000'000.00,CA$ 570000.00,,,,
CZE,Hemsky,Ales,RW,DAL,15,4,3,7,CA$4'000'000.00,CA$ 571428.57,,,,
USA,Oleksy,Steve,D,PIT,11,0,1,1,CA$575'000.00,CA$ 575000.00,,,,
USA,Warsofsky,David,D,PIT,7,0,1,1,CA$575'000.00,CA$ 575000.00,,,,
CAN,Abbott,Spencer,LW,CHI,1,0,0,0,CA$575'000.00,CA$575'000.00,,,,
USA,Burgdoerfer,Erik,D,BUF,2,0,0,0,CA$575'000.00,CA$575'000.00,,,,
USA,Carey,Paul,C,WSH,6,0,0,0,CA$575'000.00,CA$575'000.00,,,,
USA,Farnham,Bobby,RW,MTL,3,0,0,0,CA$575'000.00,CA$575'000.00,,,,
CAN,Froese,Byron,C,T.B/TOR,6,0,0,0,CA$575'000.00,CA$575'000.00,,,,
CAN,Jones,Connor,C/LW,NYI,4,0,0,0,CA$575'000.00,CA$575'000.00,,,,
CAN,Liambas,Mike,LW,NSH,1,0,0,0,CA$575'000.00,CA$575'000.00,,,,
CAN,Pardy,Adam,D,NSH,4,0,0,0,CA$575'000.00,CA$575'000.00,,,,
USA,Porter,Kevin,C,PIT,2,0,0,0,CA$575'000.00,CA$575'000.00,,,,
HRV,Rendulic,Borna,RW/C,VAN,1,0,0,0,CA$575'000.00,CA$575'000.00,,,,
CAN,Richard,Tanner,C,T.B,3,0,0,0,CA$575'000.00,CA$575'000.00,,,,
FIN,Maatta,Olli,D,PIT,55,1,6,7,CA$4'083'300.00,CA$ 583333.29,,,,
CAN,Gudbranson,Erik,D,VAN,30,1,5,6,CA$3'500'000.00,CA$ 583333.33,,,,
CAN,McEneny,Evan,D,VAN,1,0,0,0,CA$575'000.00,CA$585'000.00,,,,
USA,Oesterle,Jordan,D,EDM,2,0,0,0,CA$585'000.00,CA$585'000.00,,,,
CAN,Henley,Samuel,C/RW,COL,1,1,0,1,CA$590'000.00,CA$ 586667.00,,,,
USA,Helgeson,Seth,D,N.J,9,1,0,1,CA$600'000.00,CA$ 587500.00,,,,
CAN,Mitchell,Garrett,RW,WSH,1,0,0,0,CA$600'000.00,CA$587'500.00,,,,
CAN,Dea,Jean-Sebastien,C,PIT,1,0,0,0,CA$575'000.00,CA$593'333.00,,,,
CAN,Gaudreau,Frederick,C,NSH,9,0,1,1,CA$595'000.00,CA$ 595000.00,,,,
CAN,Garbutt,Ryan,C/LW,ANA,27,2,1,3,CA$2'000'000.00,CA$ 600000.00,,,,
CZE,Kindl,Jakub,D,FLA,39,0,4,4,CA$3'000'000.00,CA$ 600000.00,,,,
USA,Schneider,Cole,LW/RW,BUF,4,0,1,1,CA$600'000.00,CA$ 600000.00,,,,
CAN,Street,Ben,C,DET,6,0,1,1,CA$600'000.00,CA$ 600000.00,,,,
USA,Butler,Chris,D,STL,1,0,0,0,CA$600'000.00,CA$600'000.00,,,,
USA,Callahan,Mitch,RW,DET,4,0,0,0,CA$600'000.00,CA$600'000.00,,,,
USA,Cannone,Patrick,C,MIN,3,0,0,0,CA$600'000.00,CA$600'000.00,,,,
CAN,Corrado,Frank,D,PIT/TOR,4,0,0,0,CA$600'000.00,CA$600'000.00,,,,
CAN,Grenier,Alex,RW,VAN,3,0,0,0,CA$600'000.00,CA$600'000.00,,,,
CAN,Hanley,Joel,D,MTL,7,0,0,0,CA$600'000.00,CA$600'000.00,,,,
DNK,Jensen,Nicklas,RW/LW,NYR,7,0,0,0,CA$600'000.00,CA$600'000.00,,,,
CAN,McNeill,Mark,C/RW,DAL,1,0,0,0,CA$600'000.00,CA$600'000.00,,,,
USA,Tynan,T.J.,C/RW,CBJ,3,0,0,0,CA$600'000.00,CA$600'000.00,,,,
CZE,Nosek,Tomas,LW/C,DET,11,1,0,1,CA$575'000.00,CA$ 612500.00,,,,
CAN,Bass,Cody,C,NSH,9,0,0,0,CA$575'000.00,CA$612'500.00,,,,
CAN,Didomenico,Chris,C/RW,OTT,3,0,0,0,CA$575'000.00,CA$612'500.00,,,,
SWE,Granberg,Petter,D,NSH,10,0,0,0,CA$575'000.00,CA$612'500.00,,,,
USA,Ness,Aaron,D,WSH,2,0,0,0,CA$575'000.00,CA$612'500.00,,,,
FIN,Salomaki,Miikka,RW,NSH,5,0,0,0,CA$575'000.00,CA$612'500.00,,,,
CAN,Smith,Trevor,C/RW,NSH,1,0,0,0,CA$575'000.00,CA$612'500.00,,,,
CAN,Mitchell,Zack,RW,MIN,11,0,0,0,CA$640'000.00,CA$615'000.00,,,,
RUS,Tolchinsky,Sergey,LW,CAR,2,0,1,1,CA$575'000.00,CA$ 616667.00,,,,
CAN,O'Brien,Liam,C/LW,WSH,1,0,0,0,CA$630'000.00,CA$621'667.00,,,,
USA,Rooney,Kevin,C,N.J,4,0,0,0,CA$625'000.00,CA$625'000.00,,,,
USA,Tropp,Corey,RW/LW,ANA,1,0,0,0,CA$600'000.00,CA$625'000.00,,,,
CAN,Wotherspoon,Tyler,D,CGY,4,0,0,0,CA$625'000.00,CA$625'000.00,,,,
CAN,Goodrow,Barclay,RW/C,S.J,3,0,1,1,CA$635'000.00,CA$ 626667.00,,,,
CAN,Austin,Brady,D,BUF,5,0,0,0,CA$635'000.00,CA$626'667.00,,,,
CAN,Thomson,Ben,LW,N.J,3,0,0,0,CA$635'000.00,CA$626'667.00,,,,
USA,Zalewski,Michael,LW/C,VAN,1,0,0,0,CA$632'500.00,CA$632'500.00,,,,
FIN,Lindbohm,Petteri,D,STL,7,0,0,0,CA$645'000.00,CA$636'667.00,,,,
USA,McDonald,Colin,RW/C,PHI,3,1,0,1,CA$625'000.00,CA$ 637500.00,,,,
CZE,Frk,Martin,RW,CAR,2,0,0,0,CA$650'000.00,CA$639'167.00,,,,
CAN,Gorges,Josh,D,BUF,66,1,5,6,CA$3'900'000.00,CA$ 650000.00,,,,
CAN,Beck,Taylor,LW,EDM/NYR,5,0,0,0,CA$650'000.00,CA$650'000.00,,,,
USA,Brown,Patrick,C,CAR,14,0,0,0,CA$650'000.00,CA$650'000.00,,,,
CAN,Howden,Quinton,C/LW/C,WPG,5,0,0,0,CA$650'000.00,CA$650'000.00,,,,
USA,Lashoff,Brian,D,DET,5,0,0,0,CA$650'000.00,CA$650'000.00,,,,
USA,McBain,Jamie,D,ARI,3,0,0,0,CA$650'000.00,CA$650'000.00,,,,
USA,McCormick,Max,RW/LW/C,OTT,7,0,0,0,CA$650'000.00,CA$650'000.00,,,,
USA,Nelson,Casey,D,BUF,11,0,0,0,CA$650'000.00,CA$650'000.00,,,,
CAN,Harpur,Ben,D,OTT,6,0,0,0,CA$655'000.00,CA$653'333.00,,,,
CAN,Lernout,Brett,D,MTL,2,0,0,0,CA$660'000.00,CA$653'333.00,,,,
USA,Stuart,Mark,D,WPG,42,2,2,4,CA$2'700'000.00,CA$ 656250.00,,,,
CAN,Bertuzzi,Tyler,LW,DET,7,0,0,0,CA$667'500.00,CA$661'667.00,,,,
CAN,Dorsett,Derek,RW,VAN,14,1,3,4,CA$2'500'000.00,CA$ 662500.00,,,,
USA,Pietila,Blake,LW/C,N.J,10,0,1,1,CA$675'000.00,CA$ 662500.00,,,,
CAN,Gabriel,Kurtis,RW,MIN,13,0,1,1,CA$725'000.00,CA$ 666667.00,,,,
CAN,Carrier,Alex,D,NSH,2,0,0,0,CA$640'000.00,CA$668'333.00,,,,
CAN,Paul,Nick,LW/C,OTT,1,0,0,0,CA$692'500.00,CA$670'000.00,,,,
CAN,Johnston,Ryan,D,MTL,7,0,0,0,CA$692'500.00,CA$680'000.00,,,,
USA,Labate,Joseph,C,VAN,13,0,0,0,CA$680'000.00,CA$680'000.00,,,,
USA,Russo,Robbie,D,DET,19,0,0,0,CA$692'500.00,CA$680'000.00,,,,
CAN,Weegar,Mackenzie,D,FLA,3,0,0,0,CA$705'000.00,CA$680'000.00,,,,
CZE,Simon,Dominik,C,PIT,2,0,1,1,CA$667'500.00,CA$ 692500.00,,,,
USA,Barber,Riley,RW,WSH,3,0,0,0,CA$667'500.00,CA$692'500.00,,,,
CAN,O'Reilly,Cal,C,BUF,11,0,1,1,CA$700'000.00,CA$ 700000.00,,,,
CAN,Gazdic,Luke,LW,N.J,11,0,0,0,CA$700'000.00,CA$700'000.00,,,,
CAN,Varone,Phil,C,OTT,7,0,0,0,CA$700'000.00,CA$700'000.00,,,,
CAN,Vey,Linden,RW/C,CGY,4,0,0,0,CA$700'000.00,CA$700'000.00,,,,
SWE,Sundqvist,Oskar,C,PIT,10,0,0,0,CA$792'500.00,CA$700'833.00,,,,
CAN,Guhle,Brendan,D,BUF,3,0,0,0,CA$667'500.00,CA$703'333.00,,,,
