country,name,firstname,position,team,games,goals,assists,points,dollar_salary,dollar_point
CAN,Edmundson,Joel,D,STL,69,3,12,15,900000,70000
CAN,Mitchell,Torrey,C/RW,MTL,78,8,9,17,1300000,70588
CAN,Chiarot,Ben,D,WPG,59,2,10,12,850000,70833
SWE,Zibanejad,Mika,C/RW,NYR,56,14,23,37,3250000,70946
USA,Boucher,Reid,C/LW,N.J/NSH/VAN,39,6,4,10,715000,71500
LVA,Girgensons,Zemgus,C/LW,BUF,75,7,9,16,1150000,71875
CAN,Gourde,Yanni,C,T.B,20,6,2,8,575000,71875
SWE,Rasmussen,Dennis,C,CHI,68,4,4,8,575000,71875
CHE,Weber,Yannick,D,NSH,73,1,7,8,575000,71875
CAN,Blandisi,Joseph,LW/C,N.J,27,3,6,9,715000,72037
USA,Lee,Anders,LW/C,NYI,81,34,18,52,3500000,72115
CAN,Cramarossa,Joseph,C/LW,ANA/VAN,59,4,6,10,724500,72450
USA,Johns,Stephen,D,DAL,61,4,6,10,650000,72500
CAN,Simmonds,Wayne,RW/LW,PHI,82,31,23,54,4300000,73611
CAN,Kadri,Nazem,C,TOR,82,32,29,61,5000000,73770
USA,Johnson,Tyler,C,T.B,66,19,26,45,4000000,74074
FRA,Roussel,Antoine,LW,DAL,60,12,15,27,2200000,74074
CAN,Crouse,Lawson,LW,ARI,72,5,7,12,925000,74514
USA,Oshie,T.J.,RW/C,WSH,68,33,23,56,4500000,74554
CAN,Scheifele,Mark,C,WPG,79,32,50,82,5000000,74695
CAN,Dumba,Matt,D,MIN,76,11,23,34,2350000,75000
SWE,Karlsson,Melker,C/RW,S.J,67,11,11,22,1850000,75000
CAN,Kelly,Chris,C/LW,OTT,82,5,7,12,900000,75000
USA,Megna,Jayson,C,VAN,58,4,4,8,600000,75000
CAN,Petrovic,Alex,D,FLA,49,1,13,14,1200000,75000
SWE,Rakell,Rickard,C/RW,ANA,71,33,18,51,3800000,75562
USA,Wheeler,Blake,RW,WPG,82,26,48,74,5800000,75676
USA,Moore,John,D,N.J,63,12,10,22,1750000,75758
CAN,Burns,Brent,D/RW,S.J,82,29,47,76,5760000,75789
USA,Shattenkirk,Kevin,D,STL/WSH,80,13,43,56,5200000,75893
CAN,Benn,Jamie,LW,DAL,77,26,43,69,5750000,76087
NOR,Zuccarello,Mats,RW/C/LW,NYR,80,15,44,59,4500000,76271
CAN,Bozak,Tyler,C,TOR,78,18,37,55,4500000,76364
SWE,Silfverberg,Jakob,RW/LW,ANA,79,23,26,49,3000000,76531
CAN,Miller,Colin,D,BOS,61,6,7,13,900000,76923
USA,Skille,Jack,RW,VAN,55,5,4,9,700000,77778
RUS,Orlov,Dmitry,D,WSH,82,6,27,33,2570000,77879
SWE,Backstrom,Nicklas,C,WSH,82,23,63,86,7000000,77907
CAN,Nurse,Darnell,D,EDM,44,5,6,11,832500,78485
CAN,de Haan,Calvin,D,NYI,82,5,20,25,2900000,78667
SWE,Johansson,Marcus,LW/C/RW,WSH,82,24,34,58,4250000,79023
CZE,Hanzal,Martin,C,ARI/MIN,71,20,19,39,3500000,79487
CAN,Seguin,Tyler,C/RW,DAL,82,26,46,72,6000000,79861
CAN,Carter,Jeff,C/RW,L.A,82,32,34,66,7000000,79890
USA,Boyle,Brian,C/LW,T.B/TOR,75,13,12,25,2000000,80000
USA,McCabe,Jake,D,BUF,76,3,17,20,1250000,80000
CAN,Carr,Daniel,LW,MTL,33,2,7,9,725000,80556
USA,Cole,Ian,D,PIT,81,5,21,26,2300000,80769
CAN,Demelo,Dylan,D,S.J,25,1,7,8,600000,81250
CAN,Falk,Justin,D,BUF,52,0,8,8,650000,81250
CAN,MacKenzie,Derek,C/LW,FLA,82,6,10,16,1300000,81250
CAN,Manning,Brandon,D,PHI,65,3,9,12,950000,81250
CAN,Paquette,Cedric,C/LW,T.B,58,4,6,10,800000,81250
CAN,Perron,David,LW/RW,STL,82,18,28,46,3750000,81522
CHE,Josi,Roman,D,NSH,72,12,37,49,4250000,81633
RUS,Soshnikov,Nikita,RW,TOR,56,5,4,9,742500,81852
USA,Lewis,Trevor,C/RW/LW,L.A,82,12,12,24,2000000,83333
CAN,Quincey,Kyle,D,CBJ/N.J,73,6,9,15,1250000,83333
CAN,Strome,Ryan,RW/C,NYI,69,13,17,30,2000000,83333
CAN,Tavares,John,C,NYI,77,28,38,66,6000000,83333
AUT,Dano,Marko,C/LW/RW,WPG,38,4,7,11,925000,84091
CAN,Hoffman,Mike,LW/C,OTT,74,26,35,61,3800000,85041
CAN,Jenner,Boone,C/LW,CBJ,82,18,16,34,2900000,85294
CAN,Pelech,Adam,D,NYI,44,3,7,10,925000,85433
CAN,Cogliano,Andrew,LW/C/RW,ANA,82,16,19,35,3100000,85714
CAN,Fedun,Taylor,D,BUF,27,0,7,7,600000,85714
CAN,Carrier,William,LW,BUF,41,5,3,8,650000,86146
CAN,Ho-Sang,Joshua,RW/C,NYI,21,4,6,10,925000,86333
SWE,Larsson,Johan,C/LW,BUF,36,6,5,11,950000,86364
CAN,Reaves,Ryan,RW,STL,80,7,6,13,1125000,86538
SWE,Klingberg,John,D,DAL,80,13,36,49,2750000,86735
CZE,Jagr,Jaromir,RW,FLA,82,16,30,46,4000000,86957
USA,Kreider,Chris,LW/C,NYR,75,28,25,53,5000000,87264
USA,Bitetto,Anthony,D,NSH,29,0,7,7,575000,87500
CAN,Rowney,Carter,RW/C,PIT,27,3,4,7,575000,87500
USA,Palmieri,Kyle,RW/C/LW,N.J,80,26,27,53,4500000,87736
USA,Trocheck,Vincent,C/RW,FLA,82,23,31,54,3750000,87963
CAN,Campbell,Brian,D,CHI,80,5,12,17,1500000,88235
USA,Pavelski,Joe,C/RW,S.J,81,29,39,68,6000000,88235
USA,Pateryn,Greg,D,DAL/MTL,36,1,8,9,750000,88889
SWE,Rask,Victor,C,CAR,82,16,29,45,4000000,88889
FRA,Bellemare,Pierre-Edouard,LW/C,PHI,82,4,4,8,725000,89063
USA,Prosser,Nate,D,MIN,39,2,5,7,650000,89286
CAN,Sproul,Ryan,D,DET,27,1,6,7,600000,89286
RUS,Zadorov,Nikita,D,COL,56,0,10,10,832500,89417
SWE,Zetterberg,Henrik,LW/C,DET,82,17,51,68,7500000,89461
CAN,Winnik,Daniel,LW/C,WSH,72,12,13,25,1800000,90000
SWE,Folin,Christian,D,MIN,51,2,6,8,850000,90625
CAN,Skinner,Jeff,LW/C/RW,CAR,79,37,26,63,6000000,90873
RUS,Jaskin,Dmitrij,RW/LW,STL,51,1,10,11,1000000,90909
USA,Wagner,Chris,C/RW,ANA,43,6,1,7,625000,91071
NOR,Martinsen,Andreas,LW/C,COL/MTL,64,3,4,7,640000,91429
SWE,Karlsson,Erik,D,OTT,77,17,54,71,7000000,91549
EST,Komarov,Leo,C/LW,TOR,82,14,18,32,2950000,92188
RUS,Slepyshev,Anton,LW,EDM,41,4,6,10,925000,92500
CAN,Smith,Reilly,RW/C/LW,FLA,80,15,22,37,3500000,92568
CAN,Schenn,Brayden,C/LW,PHI,79,25,30,55,6000000,93182
USA,Carrick,Connor,D,TOR,67,2,6,8,650000,93750
SWE,Stalberg,Viktor,LW/RW,CAR/OTT,75,11,5,16,1500000,93750
USA,Gardiner,Jake,D,TOR,82,9,34,43,4050000,94186
USA,Flynn,Brian,C/RW,MTL,51,6,4,10,950000,95000
USA,Gravel,Kevin,D,L.A,49,1,6,7,667500,95357
CAN,Toffoli,Tyler,C/RW/LW,L.A,63,16,18,34,3900000,95588
USA,Gionta,Stephen,RW/C,NYI,26,1,5,6,575000,95833
CAN,Theodore,Shea,D,ANA,34,2,7,9,832500,95926
SWE,Hornqvist,Patric,RW,PIT,70,21,23,44,4750000,96591
RUS,Burmistrov,Alex,C/RW,ARI/WPG,49,5,11,16,1600000,96875
CAN,Schwartz,Jaden,LW/C,STL,78,19,36,55,5250000,97273
CZE,Frolik,Michael,RW/C,CGY,82,17,27,44,5000000,97727
CAN,Crosby,Sidney,C,PIT,75,44,45,89,10900000,97753
USA,Foligno,Marcus,LW,BUF,80,13,10,23,2250000,97826
