country,name,firstname,position,team,games,goals,assists,points,dollar_salary,dollar_point
USA,Barber,Riley,RW,WSH,3,0,0,0,667500,692500
CAN,O'Reilly,Cal,C,BUF,11,0,1,1,700000,700000
CAN,Gazdic,Luke,LW,N.J,11,0,0,0,700000,700000
CAN,Varone,Phil,C,OTT,7,0,0,0,700000,700000
CAN,Vey,Linden,RW/C,CGY,4,0,0,0,700000,700000
SWE,Sundqvist,Oskar,C,PIT,10,0,0,0,792500,700833
CAN,Guhle,Brendan,D,BUF,3,0,0,0,667500,703333
RUS,Zykov,Valentin,LW,CAR,2,1,0,1,727500,705000
CAN,Nogier,Nelson,D,WPG,10,0,0,0,650000,713333
SWE,Lindholm,Anton,D,COL,12,0,0,0,667500,717500
CAN,Speers,Blake,C,N.J,3,0,0,0,667500,717500
CAN,Glass,Tanner,LW,NYR,11,1,1,2,1000000,725000
CAN,Stephenson,Chandler,C,WSH,4,0,0,0,842500,725833
CAN,Blunden,Mike,RW,OTT,2,0,0,0,725000,737500
CAN,Greer,A.J.,LW,COL,5,0,1,1,725000,741667
USA,Robinson,Buddy,RW,OTT,4,0,0,0,750000,750000
USA,Nieves,Cristoval,C/LW,NYR,1,0,0,0,742500,755000
CAN,Renouf,Dan,D,DET,1,0,0,0,692500,767500
USA,Etem,Emerson,LW/RW,ANA,3,0,0,0,775000,775000
SWE,Heed,Tim,D,S.J,1,0,0,0,775000,775000
CHE,Bertschy,Christoph,C,MIN,5,0,1,1,742500,775833
SWE,Englund,Andreas,D,OTT,5,0,0,0,742500,775833
SWE,Andersson,Rasmus,D,CGY,1,0,0,0,742500,786667
USA,Megna,Jaycob,D,ANA,1,0,0,0,925000,786667
CAN,Desjardins,Andrew,LW/C,CHI,46,0,1,1,800000,800000
CAN,McIlrath,Dylan,D,FLA/NYR,6,1,0,1,800000,800000
CAN,Morrow,Joe,D,BOS,17,0,1,1,800000,800000
CAN,Purcell,Teddy,LW/RW,L.A,12,0,2,2,1600000,800000
USA,Thompson,Nate,C,ANA,30,1,1,2,1700000,800000
CAN,Bourque,Gabriel,LW/RW,COL,6,0,0,0,800000,800000
CAN,Kearns,Bracken,C,NYI,2,0,0,0,800000,800000
DNK,Sorensen,Nick,RW,ANA,5,0,1,1,925000,803333
USA,Kuraly,Sean,C,BOS,8,0,1,1,692500,808750
RUS,Kamenev,Vladislav,LW/C,NSH,2,0,0,0,742500,833333
CAN,Simpson,Dillon,D,EDM,3,0,0,0,925000,836667
DEU,O'Regan,Daniel,C/LW,S.J,3,1,0,1,792500,858750
USA,Grzelcyk,Matt,D,BOS,2,0,0,0,792500,858750
USA,Poturalski,Andrew,C,CAR,2,0,0,0,792500,858750
FIN,Kapanen,Kasperi,RW,TOR,8,1,0,1,925000,863333
RUS,Scherbak,Nikita,RW,MTL,3,1,0,1,925000,863333
CAN,Shinkaruk,Hunter,C/LW,CGY,7,0,1,1,832500,863333
CAN,Laughton,Scott,C/LW,PHI,2,0,0,0,832500,863333
USA,Milano,Sonny,LW,CBJ,4,0,0,0,925000,863333
CAN,Morin,Samuel,D,PHI,1,0,0,0,832500,863333
CAN,Pouliot,Derrick,D,PIT,11,0,0,0,832500,863333
CAN,Pulock,Ryan,D,NYI,1,0,0,0,832500,863333
RUS,Kulikov,Dmitry,D,BUF,47,2,3,5,4500000,866667
CAN,Heinen,Danton,C,BOS,8,0,0,0,767500,872500
CAN,Gaudet,Tyler,C,ARI,4,0,1,1,874125,874125
USA,Bailey,Casey,RW/C,OTT,7,0,0,0,874125,874125
CAN,Siemens,Duncan,D,COL,3,0,0,0,874125,874125
CAN,Khaira,Jujhar,LW,EDM,10,1,0,1,832500,875000
USA,Malone,Sean,C,BUF,1,0,0,0,925000,883750
CAN,Strome,Dylan,C,ARI,7,0,1,1,925000,894167
CAN,Virtanen,Jake,RW,VAN,10,0,1,1,925000,894167
CAN,Barzal,Mathew,C,NYI,2,0,0,0,925000,894167
CAN,Chabot,Thomas,D,OTT,1,0,0,0,925000,894167
SWE,Hagg,Robert,D,PHI,1,0,0,0,925000,894167
RUS,Svechnikov,Evgeny,RW/LW,DET,2,0,0,0,925000,894167
SVK,Jurco,Tomas,LW/RW,CHI/DET,29,1,0,1,950000,900000
CAN,Jost,Tyson,C/LW/RW,COL,6,1,0,1,900000,916667
SWE,Forsbacka Karlsson,Jakob,C,BOS,1,0,0,0,900000,916667
SWE,Carlsson,Gabriel,D,CBJ,2,0,1,1,925000,925000
USA,Fasching,Hudson,RW,BUF,10,0,1,1,925000,925000
USA,Grimaldi,Rocco,C,COL,4,0,1,1,925000,925000
USA,McCoshen,Ian,D,FLA,3,0,1,1,925000,925000
CAN,Nylander,Alex,RW/LW,BUF,4,0,1,1,925000,925000
USA,Reilly,Mike,D,MIN,17,1,0,1,925000,925000
SWE,De la Rose,Jacob,LW,MTL,9,0,0,0,925000,925000
CAN,Jankowski,Mark,C,CGY,1,0,0,0,925000,925000
USA,Kapla,Michael,D,N.J,5,0,0,0,925000,925000
USA,Kerdiles,Nicolas,LW,ANA,1,0,0,0,925000,925000
FIN,Kossila,Kalle,LW/C,ANA,1,0,0,0,925000,925000
SWE,Larsson,Jacob,D,ANA,4,0,0,0,925000,925000
USA,Molino,Griffen,C,VAN,5,0,0,0,925000,925000
USA,O'Gara,Rob,D,BOS,3,0,0,0,925000,925000
RUS,Sergachev,Mikhail,D,MTL,4,0,0,0,925000,925000
USA,Tuch,Alex,RW,MIN,6,0,0,0,925000,925000
USA,Vecchione,Mike,C/RW,PHI,2,0,0,0,925000,925000
USA,White,Colin,C/D,OTT,2,0,0,0,925000,925000
CAN,Gordon,Boyd,C/RW,PHI,13,1,0,1,950000,950000
SWE,Rodin,Anton,RW,VAN,3,0,1,1,950000,950000
CAN,Connauton,Kevin,D,ARI,24,0,1,1,950000,1000000
CAN,Stoner,Clayton,D,ANA,14,1,2,3,3250000,1083333
USA,Myers,Tyler,D,WPG,11,2,3,5,4000000,1100000
USA,Greene,Matt,D,L.A,26,1,1,2,2500000,1250000
USA,Condra,Erik,RW,T.B,13,0,0,0,1250000,1250000
USA,Callahan,Ryan,RW,T.B,18,2,2,4,6500000,1450000
CAN,Gelinas,Eric,D,COL,27,0,1,1,1650000,1575000
USA,Fayne,Mark,D,EDM,4,0,2,2,3500000,1812500
CZE,Michalek,Milan,LW/RW,TOR,5,1,1,2,4000000,2000000
CZE,Sobotka,Vladimir,LW/C,STL,1,1,0,1,2725000,2725000
CZE,Michalek,Zbynek,D,ARI,3,0,0,0,3200000,3200000
CAN,Despres,Simon,D,ANA,1,0,0,0,2600000,3700000
CAN,MacArthur,Clarke,LW,OTT,4,0,0,0,4500000,4650000
